"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 10 10:36:47 GMT 2025","Thu Apr 10 10:36:49 GMT 2025","2034","All Test Suite","Create Booking","api.test.AuthTest","api.test.AuthTest","testAuthTest","testAuthTest",""
"passed","Thu Apr 10 10:36:52 GMT 2025","Thu Apr 10 10:36:52 GMT 2025","449","All Test Suite","Create Booking","api.test.UpdateBookingTests","api.test.UpdateBookingTests","testUpdateBooking","testUpdateBooking",""
"passed","Thu Apr 10 10:36:52 GMT 2025","Thu Apr 10 10:36:53 GMT 2025","409","All Test Suite","Create Booking","api.test.DeleteBookingTests","api.test.DeleteBookingTests","testDeleteBooking","testDeleteBooking",""
"passed","Thu Apr 10 10:36:49 GMT 2025","Thu Apr 10 10:36:50 GMT 2025","450","All Test Suite","Create Booking","api.test.CreateBookingTests","api.test.CreateBookingTests","testCheckoutDateHandlesLeapYear","testCheckoutDateHandlesLeapYear",""
"passed","Thu Apr 10 10:36:50 GMT 2025","Thu Apr 10 10:36:51 GMT 2025","410","All Test Suite","Create Booking","api.test.CreateBookingTests","api.test.CreateBookingTests","testCheckoutDateIsCurrentDatePlusOneDay","testCheckoutDateIsCurrentDatePlusOneDay",""
"passed","Thu Apr 10 10:36:51 GMT 2025","Thu Apr 10 10:36:51 GMT 2025","412","All Test Suite","Create Booking","api.test.CreateBookingTests","api.test.CreateBookingTests","testCreateBooking","testCreateBooking",""
"passed","Thu Apr 10 10:36:50 GMT 2025","Thu Apr 10 10:36:50 GMT 2025","417","All Test Suite","Create Booking","api.test.CreateBookingTests","api.test.CreateBookingTests","testCheckoutDateHandlesMonthTransition","testCheckoutDateHandlesMonthTransition",""
"passed","Thu Apr 10 10:36:51 GMT 2025","Thu Apr 10 10:36:51 GMT 2025","430","All Test Suite","Create Booking","api.test.GetBookingTests","api.test.GetBookingTests","testGetBooking","testGetBooking",""
"passed","Thu Apr 10 10:36:51 GMT 2025","Thu Apr 10 10:36:52 GMT 2025","423","All Test Suite","Create Booking","api.test.UpdateBookingPartially","api.test.UpdateBookingPartially","testUpdateBookingPartially","testUpdateBookingPartially",""
